filed,day_index,nature_of_suit,plaintiff,defendant,presiding_judge,judge_index,court,court_index,office,county,jury_demanded_by,cause_of_action,link,case_number,counter_claimant,counter_defendant,pacer_id,pacer_party_aliases,pacer_associated_cases,pacer_attorneys,pacer_case_file_location,pacer_case_summary,pacer_docket_report,pacer_history_documents,pacer_parties,pacer_related_transactions,pacer_check_status
6-Aug-13,1,Patent,Unified Messaging Solutions LLC,BOKF NA,Joan H. Lefkow,62,Illinois Northern District Court,65,Chicago Office,"XX US, Outside the State of IL",Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv05595/286391,1:2013cv05595,,,286391,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?286391,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?286391
19-Apr-13,1,Patent,Unified Messaging Solutions LLC,"BancorpSouth, Inc.",Joan H. Lefkow,53,Illinois Northern District Court,56,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03002/282633,1:2013cv03002,,,282633,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?282633,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?282633
19-Apr-13,2,Patent,"Unified Messaging Solutions, LLC",Compass Bank,Joan H. Lefkow,54,Illinois Northern District Court,57,Chicago Office,"XX US, Outside the State of IL",Both,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03007/283385,1:2013cv03007,Compass Bank,"Unified Messaging Solutions, LLC",283385,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?283385,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?283385
19-Apr-13,3,Patent,"Unified Messaging Solutions, LLC",Everbank,Joan H. Lefkow,55,Illinois Northern District Court,58,Chicago Office,"XX US, Outside the State of IL",Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03001/282635,1:2013cv03001,,,282635,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?282635,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?282635
19-Apr-13,4,Patent,Unified Messaging Solutions LLC,"First Citizens Bank and Trust Company, Inc.",Joan H. Lefkow,56,Illinois Northern District Court,59,Chicago Office,"XX US, Outside the State of IL",Both,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03006/282617,1:2013cv03006,"First Citizens Bank and Trust Company, Inc.",Unified Messaging Solutions LLC,282617,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?282617,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?282617
19-Apr-13,5,Patent,Unified Messaging Solutions LLC,First Horizon National Corp.,Joan H. Lefkow,57,Illinois Northern District Court,60,Chicago Office,"XX US, Outside the State of IL",Plaintiff,28:1331 Federal Question,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03003/282691,1:2013cv03003,,,282691,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?282691,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?282691
19-Apr-13,6,Patent,Unified Messaging Solutions LLC,First-Citizens Bank & Trust Company,Joan H. Lefkow,58,Illinois Northern District Court,61,Chicago Office,"XX US, Outside the State of IL",Both,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03005/282615,1:2013cv03005,First-Citizens Bank & Trust Company,Unified Messaging Solutions LLC,282615,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?282615,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?282615
19-Apr-13,7,Patent,"Unified Messaging Solutions, LLC",Humana Inc.,Joan H. Lefkow,59,Illinois Northern District Court,62,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv02999/282625,1:2013cv02999,Humana Inc.,"Unified Messaging Solutions, LLC",282625,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?282625,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?282625
19-Apr-13,8,Patent,"Unified Messaging Solutions, LLC","Pandora Media, Inc.",Joan H. Lefkow,60,Illinois Northern District Court,63,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03000/282626,1:2013cv03000,"Pandora Media, Inc.","Unified Messaging Solutions, LLC",282626,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?282626,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?282626
19-Apr-13,9,Patent,"Unified Messaging Solutions, LLC",United Service Automobile Association,Joan H. Lefkow,61,Illinois Northern District Court,64,Chicago Office,"XX US, Outside the State of IL",Both,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv03008/283386,1:2013cv03008,United Service Automobile Association,"Unified Messaging Solutions, LLC",283386,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?283386,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?283386
